"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"FO 372/1505","Foreign Office: Treaty Department and successors: General Correspondence from 1906. Decorations.","Britain. Code 350D file 37 (pp. 3723 - 4183).","Britain. Code 350D file 37 (pp. 3723 - 4183).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 37 (pp. 3723-4183).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International;
        C10112 Treaties and alliances","","C2496102","254.040268"
"FO 395/358","Foreign Office: News Department: General Correspondence from 1906.","France. Code 117 File 2 (papers 1340 - end)","France. Code 117 File 2 (papers 1340 - end).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 2 (pp.1340-end).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C4266539","253.771179"
"FO 395/321","Foreign Office: News Department: General Correspondence from 1906.","France. Code 117 File 72 (papers 1548 - 1709)","France. Code 117 File 72 (papers 1548 - 1709).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 72 (pp.1548-1709).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C4266502","253.771179"
"FO 395/398","Foreign Office: News Department: General Correspondence from 1906.","France. Code 117 File 6 (papers 18 - 1023)","France. Code 117 File 6 (papers 18 - 1023).","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 6 (pp.18-1023).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C4266579","253.771179"
"FO 395/325","Foreign Office: News Department: General Correspondence from 1906.","General. Code 150 File 34 (to paper 945)","General. Code 150 File 34 (to paper 945).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 34 (to pp.945).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C4266506","253.771179"
"FO 369/1428","Foreign Office: Consular Department: General Correspondence from 1906.","General. Code 250 File 154 (papers 11314 - 17550)","General. Code 250 File 154 (papers 11314 - 17550).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 154 (pp.11314-17550).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C4259040","253.771179"
"FO 369/1441","Foreign Office: Consular Department: General Correspondence from 1906.","General. Code 250 File 3371 (papers 8755 - 15956)","General. Code 250 File 3371 (papers 8755 - 15956).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 3371 (pp.8755-15956).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C4259054","253.771179"
"FO 371/6296","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Egypt. Code 16 File 260 (papers 5612 - 6504)","Egypt. Code 16 File 260 (papers 5612 - 6504).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 260 (pp.5612-6504).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2763961","253.656387"
"FO 371/6350","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Mesopotamia. Code 93 File 100 (papers 3073 - 5071)","Mesopotamia. Code 93 File 100 (papers 3073 - 5071).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 100 (pp.3073-5071).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C2764015","253.656387"
"FO 371/5961","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 386 (papers 1488 - 2320)","Germany. Code 18 File 386 (papers 1488 - 2320).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 386 (pp.1488-2320).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2763626","253.656387"
